,Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y2005,Y2017
1658,11,Austria,44,Barley,5510,Production,tonnes,879628.0,782029.0
1673,11,Austria,89,Buckwheat,5510,Production,tonnes,0.0,0.0
1733,11,Austria,333,Linseed,5510,Production,tonnes,6441.0,1786.0
1736,11,Austria,210,Lupins,5510,Production,tonnes,1038.0,334.0
1739,11,Austria,56,Maize,5510,Production,tonnes,2020955.0,2075983.0
1747,11,Austria,79,Millet,5510,Production,tonnes,8733.0,10608.0
1752,11,Austria,75,Oats,5510,Production,tonnes,128432.0,76672.0
1791,11,Austria,270,Rapeseed,5510,Production,tonnes,104303.0,116835.0
1797,11,Austria,71,Rye,5510,Production,tonnes,163653.0,129070.0
1800,11,Austria,83,Sorghum,5510,Production,tonnes,,20331.0
1826,11,Austria,97,Triticale,5510,Production,tonnes,198468.0,289131.0
1835,11,Austria,205,Vetches,5510,Production,tonnes,2142.0,3693.0
1844,11,Austria,15,Wheat,5510,Production,tonnes,1453072.0,1437143.0
2831,255,Belgium,44,Barley,5510,Production,tonnes,301647.0,381128.0
2894,255,Belgium,333,Linseed,5510,Production,tonnes,10270.0,11000.0
2897,255,Belgium,56,Maize,5510,Production,tonnes,634088.0,608671.0
2904,255,Belgium,75,Oats,5510,Production,tonnes,29194.0,18428.0
2932,255,Belgium,270,Rapeseed,5510,Production,tonnes,24000.0,46090.0
2938,255,Belgium,71,Rye,5510,Production,tonnes,2326.0,2389.0
2956,255,Belgium,97,Triticale,5510,Production,tonnes,48823.0,34106.0
2967,255,Belgium,15,Wheat,5510,Production,tonnes,1768410.0,1702721.0
4680,27,Bulgaria,44,Barley,5510,Production,tonnes,657863.0,595237.0
4697,27,Bulgaria,89,Buckwheat,5510,Production,tonnes,,
4780,27,Bulgaria,201,Lentils,5510,Production,tonnes,2295.0,5920.0
4786,27,Bulgaria,333,Linseed,5510,Production,tonnes,82.0,181.0
4789,27,Bulgaria,56,Maize,5510,Production,tonnes,1585701.0,2562569.0
4797,27,Bulgaria,79,Millet,5510,Production,tonnes,4190.0,4432.0
4807,27,Bulgaria,75,Oats,5510,Production,tonnes,50138.0,31849.0
4855,27,Bulgaria,270,Rapeseed,5510,Production,tonnes,21778.0,478987.0
4867,27,Bulgaria,71,Rye,5510,Production,tonnes,13617.0,17304.0
4876,27,Bulgaria,83,Sorghum,5510,Production,tonnes,3243.0,12219.0
4903,27,Bulgaria,97,Triticale,5510,Production,tonnes,22643.0,59140.0
4912,27,Bulgaria,205,Vetches,5510,Production,tonnes,910.0,31021.0
4921,27,Bulgaria,15,Wheat,5510,Production,tonnes,3478066.0,6132671.0
8694,98,Croatia,44,Barley,5510,Production,tonnes,162530.0,260426.0
8706,98,Croatia,89,Buckwheat,5510,Production,tonnes,150.0,624.0
8774,98,Croatia,201,Lentils,5510,Production,tonnes,113.0,46.0
8779,98,Croatia,333,Linseed,5510,Production,tonnes,,
8782,98,Croatia,56,Maize,5510,Production,tonnes,2206729.0,1559638.0
8788,98,Croatia,79,Millet,5510,Production,tonnes,301.0,171.0
8793,98,Croatia,75,Oats,5510,Production,tonnes,49470.0,68333.0
8799,98,Croatia,260,Olives,5510,Production,tonnes,36602.0,28947.0
8832,98,Croatia,270,Rapeseed,5510,Production,tonnes,41275.0,135810.0
8838,98,Croatia,71,Rye,5510,Production,tonnes,4737.0,2566.0
8841,98,Croatia,83,Sorghum,5510,Production,tonnes,600.0,114.0
8865,98,Croatia,97,Triticale,5510,Production,tonnes,,68648.0
8871,98,Croatia,205,Vetches,5510,Production,tonnes,2340.0,
8880,98,Croatia,15,Wheat,5510,Production,tonnes,601748.0,687595.0
10157,54,Denmark,44,Barley,5510,Production,tonnes,3797200.0,3992300.0
10210,54,Denmark,333,Linseed,5510,Production,tonnes,0.0,159.0
10213,54,Denmark,56,Maize,5510,Production,tonnes,,38900.0
10225,54,Denmark,75,Oats,5510,Production,tonnes,315000.0,350200.0
10255,54,Denmark,270,Rapeseed,5510,Production,tonnes,342200.0,742300.0
10261,54,Denmark,71,Rye,5510,Production,tonnes,132000.0,723200.0
10276,54,Denmark,97,Triticale,5510,Production,tonnes,151600.0,60500.0
10282,54,Denmark,15,Wheat,5510,Production,tonnes,4887200.0,4834100.0
11584,63,Estonia,44,Barley,5510,Production,tonnes,366717.0,425683.0
11593,63,Estonia,89,Buckwheat,5510,Production,tonnes,485.0,3385.0
11632,63,Estonia,333,Linseed,5510,Production,tonnes,209.0,76.0
11634,63,Estonia,79,Millet,5510,Production,tonnes,,
11639,63,Estonia,75,Oats,5510,Production,tonnes,84168.0,89393.0
11659,63,Estonia,92,Quinoa,5510,Production,tonnes,,
11662,63,Estonia,270,Rapeseed,5510,Production,tonnes,83067.0,165270.0
11671,63,Estonia,71,Rye,5510,Production,tonnes,20385.0,52357.0
11683,63,Estonia,97,Triticale,5510,Production,tonnes,14982.0,26450.0
11689,63,Estonia,15,Wheat,5510,Production,tonnes,263408.0,713263.0
12472,67,Finland,44,Barley,5510,Production,tonnes,2102900.0,1460100.0
12523,67,Finland,75,Oats,5510,Production,tonnes,1073300.0,1013900.0
12541,67,Finland,270,Rapeseed,5510,Production,tonnes,105600.0,91300.0
12547,67,Finland,71,Rye,5510,Production,tonnes,32400.0,113500.0
12565,67,Finland,15,Wheat,5510,Production,tonnes,801300.0,802000.0
12616,68,France,44,Barley,5510,Production,tonnes,10313589.0,12086796.0
12633,68,France,89,Buckwheat,5510,Production,tonnes,124217.0,263485.0
12660,68,France,249,Coconuts,5510,Production,tonnes,838.0,4442.0
12723,68,France,201,Lentils,5510,Production,tonnes,15542.0,39994.0
12729,68,France,333,Linseed,5510,Production,tonnes,24935.0,54730.0
12732,68,France,210,Lupins,5510,Production,tonnes,17597.0,12547.0
12735,68,France,56,Maize,5510,Production,tonnes,13689322.0,14534897.0
12744,68,France,79,Millet,5510,Production,tonnes,24000.0,40604.0
12751,68,France,75,Oats,5510,Production,tonnes,497260.0,537340.0
12757,68,France,260,Olives,5510,Production,tonnes,21861.0,18333.0
12799,68,France,270,Rapeseed,5510,Production,tonnes,4532787.0,5317377.0
12811,68,France,71,Rye,5510,Production,tonnes,146808.0,109715.0
12814,68,France,83,Sorghum,5510,Production,tonnes,263479.0,325792.0
12847,68,France,97,Triticale,5510,Production,tonnes,1797106.0,1579317.0
12862,68,France,15,Wheat,5510,Production,tonnes,36886103.0,38677896.0
13532,79,Germany,44,Barley,5510,Production,tonnes,11613800.0,10853400.0
13607,79,Germany,201,Lentils,5510,Production,tonnes,,
13613,79,Germany,333,Linseed,5510,Production,tonnes,25370.0,7000.0
13616,79,Germany,210,Lupins,5510,Production,tonnes,50000.0,52800.0
13619,79,Germany,56,Maize,5510,Production,tonnes,4082700.0,4547600.0
13628,79,Germany,75,Oats,5510,Production,tonnes,963600.0,576500.0
13668,79,Germany,270,Rapeseed,5510,Production,tonnes,5051700.0,4268400.0
13674,79,Germany,71,Rye,5510,Production,tonnes,2793500.0,2737400.0
13698,79,Germany,97,Triticale,5510,Production,tonnes,2675900.0,2317000.0
13707,79,Germany,205,Vetches,5510,Production,tonnes,,
13713,79,Germany,15,Wheat,5510,Production,tonnes,23692700.0,24481600.0
13973,84,Greece,44,Barley,5510,Production,tonnes,227464.0,376543.0
13987,84,Greece,89,Buckwheat,5510,Production,tonnes,,
14078,84,Greece,201,Lentils,5510,Production,tonnes,1705.0,13799.0
14084,84,Greece,333,Linseed,5510,Production,tonnes,,
14087,84,Greece,210,Lupins,5510,Production,tonnes,295.0,18501.0
14090,84,Greece,56,Maize,5510,Production,tonnes,2546838.0,1461730.0
14102,84,Greece,79,Millet,5510,Production,tonnes,0.0,120.0
14108,84,Greece,75,Oats,5510,Production,tonnes,80867.0,109735.0
14111,84,Greece,260,Olives,5510,Production,tonnes,2628911.0,2837778.0
14153,84,Greece,270,Rapeseed,5510,Production,tonnes,5248.0,18854.0
14161,84,Greece,71,Rye,5510,Production,tonnes,32685.0,26142.0
14170,84,Greece,83,Sorghum,5510,Production,tonnes,45.0,487.0
14202,84,Greece,97,Triticale,5510,Production,tonnes,,45500.0
14211,84,Greece,205,Vetches,5510,Production,tonnes,12157.0,2276.0
14220,84,Greece,15,Wheat,5510,Production,tonnes,2018524.0,1356772.0
15685,97,Hungary,44,Barley,5510,Production,tonnes,1190447.0,1416376.0
15699,97,Hungary,89,Buckwheat,5510,Production,tonnes,463.0,909.0
15705,97,Hungary,101,Canary seed,5510,Production,tonnes,12934.0,5734.0
15786,97,Hungary,201,Lentils,5510,Production,tonnes,568.0,20.0
15792,97,Hungary,333,Linseed,5510,Production,tonnes,2818.0,1549.0
15795,97,Hungary,210,Lupins,5510,Production,tonnes,391.0,395.0
15798,97,Hungary,56,Maize,5510,Production,tonnes,9050004.0,6739186.0
15807,97,Hungary,79,Millet,5510,Production,tonnes,15387.0,3230.0
15814,97,Hungary,75,Oats,5510,Production,tonnes,157354.0,94809.0
15856,97,Hungary,270,Rapeseed,5510,Production,tonnes,282713.0,932139.0
15868,97,Hungary,71,Rye,5510,Production,tonnes,107308.0,87060.0
15874,97,Hungary,83,Sorghum,5510,Production,tonnes,12416.0,24548.0
15901,97,Hungary,97,Triticale,5510,Production,tonnes,567738.0,373812.0
15907,97,Hungary,205,Vetches,5510,Production,tonnes,100.0,12.0
15916,97,Hungary,15,Wheat,5510,Production,tonnes,5088219.0,5246258.0
17045,104,Ireland,44,Barley,5510,Production,tonnes,1024400.0,1505600.0
17056,104,Ireland,89,Buckwheat,5510,Production,tonnes,,
17095,104,Ireland,75,Oats,5510,Production,tonnes,112800.0,205000.0
17112,104,Ireland,270,Rapeseed,5510,Production,tonnes,14200.0,41700.0
17118,104,Ireland,71,Rye,5510,Production,tonnes,549.0,629.0
17138,104,Ireland,15,Wheat,5510,Production,tonnes,802700.0,681500.0
17459,106,Italy,44,Barley,5510,Production,tonnes,1214054.0,984281.0
17566,106,Italy,201,Lentils,5510,Production,tonnes,1234.0,3663.0
17572,106,Italy,333,Linseed,5510,Production,tonnes,2000.0,2000.0
17575,106,Italy,210,Lupins,5510,Production,tonnes,3500.0,4721.0
17578,106,Italy,56,Maize,5510,Production,tonnes,10427930.0,6048499.0
17593,106,Italy,75,Oats,5510,Production,tonnes,429153.0,229041.0
17597,106,Italy,260,Olives,5510,Production,tonnes,3774812.0,2597974.0
17644,106,Italy,270,Rapeseed,5510,Production,tonnes,6079.0,41444.0
17653,106,Italy,71,Rye,5510,Production,tonnes,7876.0,11097.0
17662,106,Italy,83,Sorghum,5510,Production,tonnes,184915.0,240694.0
17694,106,Italy,97,Triticale,5510,Production,tonnes,,77654.0
17703,106,Italy,205,Vetches,5510,Production,tonnes,8000.0,9101.0
17712,106,Italy,15,Wheat,5510,Production,tonnes,7717129.0,6966465.0
19555,119,Latvia,44,Barley,5510,Production,tonnes,365800.0,240900.0
19567,119,Latvia,89,Buckwheat,5510,Production,tonnes,9900.0,17100.0
19616,119,Latvia,333,Linseed,5510,Production,tonnes,600.0,300.0
19619,119,Latvia,210,Lupins,5510,Production,tonnes,4.0,200.0
19626,119,Latvia,75,Oats,5510,Production,tonnes,122000.0,134000.0
19661,119,Latvia,270,Rapeseed,5510,Production,tonnes,145700.0,326200.0
19667,119,Latvia,71,Rye,5510,Production,tonnes,87200.0,129400.0
19681,119,Latvia,97,Triticale,5510,Production,tonnes,31800.0,26000.0
19687,119,Latvia,205,Vetches,5510,Production,tonnes,200.0,200.0
19690,119,Latvia,15,Wheat,5510,Production,tonnes,676500.0,2138800.0
20305,126,Lithuania,44,Barley,5510,Production,tonnes,948300.0,519732.0
20323,126,Lithuania,89,Buckwheat,5510,Production,tonnes,15700.0,53221.0
20374,126,Lithuania,333,Linseed,5510,Production,tonnes,2000.0,737.0
20377,126,Lithuania,210,Lupins,5510,Production,tonnes,4900.0,3745.0
20380,126,Lithuania,56,Maize,5510,Production,tonnes,4900.0,56974.0
20389,126,Lithuania,75,Oats,5510,Production,tonnes,114100.0,195928.0
20422,126,Lithuania,270,Rapeseed,5510,Production,tonnes,201200.0,543518.0
20428,126,Lithuania,71,Rye,5510,Production,tonnes,108300.0,63066.0
20443,126,Lithuania,97,Triticale,5510,Production,tonnes,201100.0,247505.0
20452,126,Lithuania,205,Vetches,5510,Production,tonnes,4500.0,621.0
20455,126,Lithuania,15,Wheat,5510,Production,tonnes,1379400.0,3917372.0
20494,256,Luxembourg,44,Barley,5510,Production,tonnes,52853.0,34951.0
20537,256,Luxembourg,56,Maize,5510,Production,tonnes,2060.0,695.0
20542,256,Luxembourg,75,Oats,5510,Production,tonnes,7734.0,5920.0
20566,256,Luxembourg,270,Rapeseed,5510,Production,tonnes,14704.0,11317.0
20572,256,Luxembourg,71,Rye,5510,Production,tonnes,5715.0,4635.0
20581,256,Luxembourg,97,Triticale,5510,Production,tonnes,18530.0,23691.0
20590,256,Luxembourg,15,Wheat,5510,Production,tonnes,71745.0,77781.0
21612,134,Malta,44,Barley,5510,Production,tonnes,2200.0,2174.0
21680,134,Malta,260,Olives,5510,Production,tonnes,3.0,60.0
21722,134,Malta,205,Vetches,5510,Production,tonnes,694.0,622.0
21728,134,Malta,15,Wheat,5510,Production,tonnes,10233.0,12413.0
23873,150,Netherlands,44,Barley,5510,Production,tonnes,307100.0,204316.0
23894,150,Netherlands,101,Canary seed,5510,Production,tonnes,,
23943,150,Netherlands,333,Linseed,5510,Production,tonnes,3641.0,1496.0
23946,150,Netherlands,56,Maize,5510,Production,tonnes,183000.0,116711.0
23955,150,Netherlands,75,Oats,5510,Production,tonnes,9472.0,6728.0
23989,150,Netherlands,270,Rapeseed,5510,Production,tonnes,7736.0,7894.0
23995,150,Netherlands,71,Rye,5510,Production,tonnes,10885.0,4385.0
23997,150,Netherlands,83,Sorghum,5510,Production,tonnes,,
24014,150,Netherlands,97,Triticale,5510,Production,tonnes,19900.0,6395.0
24023,150,Netherlands,15,Wheat,5510,Production,tonnes,1174686.0,1054151.0
27080,173,Poland,44,Barley,5510,Production,tonnes,3581156.0,3793032.0
27098,173,Poland,89,Buckwheat,5510,Production,tonnes,72096.0,113113.0
27165,173,Poland,333,Linseed,5510,Production,tonnes,1685.0,9100.0
27168,173,Poland,210,Lupins,5510,Production,tonnes,40913.0,168678.0
27171,173,Poland,56,Maize,5510,Production,tonnes,1945402.0,4021592.0
27177,173,Poland,79,Millet,5510,Production,tonnes,7066.0,30785.0
27183,173,Poland,75,Oats,5510,Production,tonnes,1324134.0,1464606.0
27216,173,Poland,270,Rapeseed,5510,Production,tonnes,1449756.0,2697265.0
27222,173,Poland,71,Rye,5510,Production,tonnes,3404312.0,2673642.0
27246,173,Poland,97,Triticale,5510,Production,tonnes,3903000.0,5312061.0
27255,173,Poland,205,Vetches,5510,Production,tonnes,3848.0,10414.0
27261,173,Poland,15,Wheat,5510,Production,tonnes,8771434.0,11665702.0
27315,174,Portugal,44,Barley,5510,Production,tonnes,26271.0,55261.0
27333,174,Portugal,101,Canary seed,5510,Production,tonnes,,
27417,174,Portugal,333,Linseed,5510,Production,tonnes,,
27420,174,Portugal,210,Lupins,5510,Production,tonnes,15.0,6.0
27423,174,Portugal,56,Maize,5510,Production,tonnes,514415.0,745123.0
27429,174,Portugal,79,Millet,5510,Production,tonnes,,
27436,174,Portugal,75,Oats,5510,Production,tonnes,25151.0,45856.0
27441,174,Portugal,260,Olives,5510,Production,tonnes,211070.0,876215.0
27485,174,Portugal,71,Rye,5510,Production,tonnes,19747.0,14439.0
27522,174,Portugal,97,Triticale,5510,Production,tonnes,30021.0,25840.0
27539,174,Portugal,15,Wheat,5510,Production,tonnes,81530.0,59610.0
28477,183,Romania,44,Barley,5510,Production,tonnes,1079148.0,1906703.0
28566,183,Romania,201,Lentils,5510,Production,tonnes,,
28572,183,Romania,333,Linseed,5510,Production,tonnes,55.0,3619.0
28575,183,Romania,56,Maize,5510,Production,tonnes,10388499.0,14326097.0
28585,183,Romania,79,Millet,5510,Production,tonnes,,
28594,183,Romania,75,Oats,5510,Production,tonnes,377456.0,407795.0
28630,183,Romania,270,Rapeseed,5510,Production,tonnes,147566.0,1673327.0
28639,183,Romania,71,Rye,5510,Production,tonnes,48962.0,28158.0
28645,183,Romania,83,Sorghum,5510,Production,tonnes,1912.0,54282.0
28673,183,Romania,97,Triticale,5510,Production,tonnes,94142.0,331567.0
28688,183,Romania,15,Wheat,5510,Production,tonnes,7340664.0,10034955.0
30669,199,Slovakia,44,Barley,5510,Production,tonnes,739311.0,545285.0
30684,199,Slovakia,89,Buckwheat,5510,Production,tonnes,409.0,367.0
30755,199,Slovakia,201,Lentils,5510,Production,tonnes,1262.0,597.0
30761,199,Slovakia,333,Linseed,5510,Production,tonnes,2674.0,1593.0
30764,199,Slovakia,210,Lupins,5510,Production,tonnes,67.0,1911.0
30767,199,Slovakia,56,Maize,5510,Production,tonnes,1074040.0,1066188.0
30776,199,Slovakia,79,Millet,5510,Production,tonnes,1559.0,706.0
30786,199,Slovakia,75,Oats,5510,Production,tonnes,38240.0,34937.0
30822,199,Slovakia,270,Rapeseed,5510,Production,tonnes,235066.0,448665.0
30828,199,Slovakia,71,Rye,5510,Production,tonnes,68588.0,32458.0
30831,199,Slovakia,83,Sorghum,5510,Production,tonnes,2619.0,1616.0
30855,199,Slovakia,97,Triticale,5510,Production,tonnes,52366.0,31503.0
30864,199,Slovakia,205,Vetches,5510,Production,tonnes,123.0,208.0
30873,199,Slovakia,15,Wheat,5510,Production,tonnes,1607868.0,1770659.0
30924,198,Slovenia,44,Barley,5510,Production,tonnes,61239.0,97929.0
30941,198,Slovenia,89,Buckwheat,5510,Production,tonnes,1453.0,2909.0
31006,198,Slovenia,201,Lentils,5510,Production,tonnes,,
31012,198,Slovenia,56,Maize,5510,Production,tonnes,351168.0,272177.0
31015,198,Slovenia,79,Millet,5510,Production,tonnes,898.0,368.0
31023,198,Slovenia,75,Oats,5510,Production,tonnes,7629.0,4641.0
31026,198,Slovenia,260,Olives,5510,Production,tonnes,2687.0,1685.0
31061,198,Slovenia,270,Rapeseed,5510,Production,tonnes,5352.0,8999.0
31070,198,Slovenia,71,Rye,5510,Production,tonnes,4092.0,4415.0
31072,198,Slovenia,83,Sorghum,5510,Production,tonnes,,
31093,198,Slovenia,97,Triticale,5510,Production,tonnes,7846.0,22923.0
31099,198,Slovenia,205,Vetches,5510,Production,tonnes,,
31105,198,Slovenia,15,Wheat,5510,Production,tonnes,141293.0,140961.0
31770,203,Spain,44,Barley,5510,Production,tonnes,4626059.0,5785944.0
31794,203,Spain,101,Canary seed,5510,Production,tonnes,35.0,299.0
31901,203,Spain,201,Lentils,5510,Production,tonnes,24761.0,24357.0
31907,203,Spain,333,Linseed,5510,Production,tonnes,7000.0,11.0
31910,203,Spain,210,Lupins,5510,Production,tonnes,5627.0,3127.0
31913,203,Spain,56,Maize,5510,Production,tonnes,3981370.0,3775645.0
31919,203,Spain,79,Millet,5510,Production,tonnes,696.0,1540.0
31928,203,Spain,75,Oats,5510,Production,tonnes,542108.0,843259.0
31931,203,Spain,260,Olives,5510,Production,tonnes,4021720.0,6549499.0
31984,203,Spain,270,Rapeseed,5510,Production,tonnes,4113.0,153665.0
31996,203,Spain,71,Rye,5510,Production,tonnes,129096.0,139178.0
32005,203,Spain,83,Sorghum,5510,Production,tonnes,22119.0,30138.0
32041,203,Spain,97,Triticale,5510,Production,tonnes,52130.0,355840.0
32050,203,Spain,205,Vetches,5510,Production,tonnes,44435.0,72231.0
32059,203,Spain,15,Wheat,5510,Production,tonnes,4026694.0,4875957.0
32791,210,Sweden,44,Barley,5510,Production,tonnes,1592900.0,1635200.0
32842,210,Sweden,333,Linseed,5510,Production,tonnes,15700.0,7800.0
32848,210,Sweden,75,Oats,5510,Production,tonnes,746300.0,676400.0
32869,210,Sweden,270,Rapeseed,5510,Production,tonnes,198200.0,362700.0
32875,210,Sweden,71,Rye,5510,Production,tonnes,112300.0,141800.0
32893,210,Sweden,97,Triticale,5510,Production,tonnes,271500.0,156500.0
32901,210,Sweden,205,Vetches,5510,Production,tonnes,,
32904,210,Sweden,15,Wheat,5510,Production,tonnes,2246800.0,3298600.0
